City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
270,alibag,18.6411,72.8792,26.13,55,0,4.06,IN,1742427766
271,broken hill,-31.95,141.4333,27.28,49,26,9.66,AU,1742427767
272,sortavala,61.7053,30.6918,-5.13,93,81,2.56,RU,1742427769
273,faya-largeau,17.9257,19.1043,27.76,10,1,6.25,TD,1742427770
274,nar'yan-mar,67.6713,53.087,-4.44,94,100,6.09,RU,1742427771
275,laguna,38.421,-121.4238,17.26,49,0,4.63,US,1742427772
276,itamaraca,-7.7478,-34.8256,26.9,76,4,4.07,BR,1742427773
277,badiyah,22.45,58.8,20.01,35,0,1.53,OM,1742427774
278,coquimbo,-29.9533,-71.3436,17.85,87,75,3.6,CL,1742427155
279,nemuro,43.3236,145.575,-1.22,95,100,2.44,JP,1742427777
280,hovd,48.0056,91.6419,-7.91,74,1,1.05,MN,1742427778
281,hotan,37.0997,79.9269,5.81,23,50,1.57,CN,1742427779
282,ola,59.5833,151.2833,-15.16,79,63,1.25,RU,1742427780
283,soure,-0.7167,-48.5233,25.37,89,98,4.49,BR,1742427781
284,ta`u,-14.2336,-169.5144,28.43,78,93,6.65,AS,1742427782
285,bandundu,-3.3167,17.3667,22.62,92,98,1.29,CD,1742427784
286,westport,41.1415,-73.3579,11.51,53,0,4.12,US,1742427785
287,nova xavantina,-14.6667,-52.35,25.08,78,69,2.07,BR,1742427786
288,alesund,62.4723,6.1549,5.08,60,100,4.63,NO,1742427787
289,inirida,3.8653,-67.9239,27.3,76,96,0.72,CO,1742427788
290,labrador city,52.9463,-66.9114,-3.05,50,75,2.06,CA,1742427549
291,zhangye,38.9342,100.4517,2.1,32,0,2.47,CN,1742427790
292,arteche,12.2645,125.4048,25.17,92,100,8.21,PH,1742427792
293,khandyga,62.6667,135.6,-18.76,84,22,1.7,RU,1742427793
294,clarence town,-32.5833,151.7833,22.95,51,84,0.92,AU,1742427794
295,cabedelo,-6.9811,-34.8339,27.37,76,26,5.41,BR,1742427796
296,beboto,8.2668,16.939,28.88,32,94,0.92,TD,1742427797
297,colonia,50.9333,6.95,9.58,53,0,2.06,DE,1742427659
298,minas de barroteran,27.6333,-101.2833,26.04,7,83,7.52,MX,1742427799
299,polyarnyy,69.1989,33.4478,-6.61,86,99,9.83,RU,1742427800
300,pindi bhattian,31.8978,73.273,15.33,38,2,2.44,PK,1742427802
301,yulinshi,38.2906,109.7494,3.25,29,0,3.28,CN,1742427803
302,portland,45.5234,-122.6762,13.2,57,100,6.17,US,1742427672
303,pyt-yakh,60.7499,72.8582,-12.78,100,98,1.32,RU,1742427805
304,quellon,-43.1167,-73.6167,13.5,98,99,3.88,CL,1742427806
305,coldwater,41.9403,-85.0005,14.53,74,96,4.92,US,1742427808
306,albertina,-22.2008,-46.6158,17.55,96,82,0.82,BR,1742427809
307,fort st. john,56.2499,-120.8529,5.94,45,40,4.12,CA,1742427810
308,susuman,62.7833,148.1667,-21.19,90,100,0.75,RU,1742427811
309,zyryanskoye,56.8306,86.6258,2.5,75,98,6.46,RU,1742427812
310,pilona,43.35,-5.3667,11.86,73,100,2.8,ES,1742427813
311,greymouth,-42.4667,171.2,20.01,46,35,1.44,NZ,1742427815
312,hailar,49.2,119.7,-2.34,93,31,4.3,CN,1742427816
313,kem',64.9555,34.5793,-8.75,88,32,5.36,RU,1742427817
314,fortuna,40.5982,-124.1573,8.53,93,100,7.2,US,1742427818
315,mar del plata,-38.0023,-57.5575,21.08,90,100,4.63,AR,1742427550
316,sao vicente,-23.9631,-46.3919,23.83,26,47,3.13,BR,1742427821
317,pisco,-13.7,-76.2167,23.03,68,0,5.66,PE,1742427822
318,las khorey,11.1595,48.1967,26.26,75,81,2.26,SO,1742427823
319,las lomas,8.4333,-82.4,30.67,66,0,3.58,PA,1742427825
320,tarcento,46.2122,13.2258,3.6,78,2,1.18,IT,1742427668
321,dryden,49.7833,-92.7503,-1.84,34,0,5.66,CA,1742427827
322,nellore,14.4333,79.9667,23.03,93,0,2.58,IN,1742427828
323,abu zabad,12.35,29.25,25.96,12,44,6.19,SD,1742427830
324,canas,10.4294,-85.0931,29.91,44,38,7.26,CR,1742427706
325,petropavlovsk-kamchatsky,53.0452,158.6483,-7.67,45,75,3.0,RU,1742427832
326,hirara,24.8,125.2833,16.15,51,40,6.69,JP,1742427625
327,zheleznodorozhnyy,55.7503,38.0042,1.16,84,26,3.92,RU,1742427835
328,nema,57.5067,50.5011,-4.06,95,100,5.18,RU,1742427836
329,chiredzi,-21.05,31.6667,19.6,78,86,1.84,ZW,1742427837
330,lata,40.1629,-8.3327,18.05,42,100,10.5,PT,1742427838
331,vikasnagar,30.4683,77.775,16.97,34,0,4.03,IN,1742427839
332,prado,-17.3411,-39.2208,26.63,78,0,5.52,BR,1742427840
333,kogalym,62.2654,74.4791,-17.26,100,78,2.69,RU,1742427841
334,astrakhan,46.3497,48.0408,3.93,75,0,5.0,RU,1742427654
335,lorengau,-2.0226,147.2712,29.61,69,43,5.45,PG,1742427844
336,taloqan,36.7361,69.5345,13.72,31,0,2.91,AF,1742427845
337,central point,42.376,-122.9164,14.8,44,0,3.58,US,1742427846
338,orapa,-21.2833,25.3667,19.85,59,74,4.1,BW,1742427847
339,udachny,66.4167,112.4,-14.75,88,99,8.44,RU,1742427848
340,balqash,46.8481,74.995,-1.68,75,0,4.58,KZ,1742427849
341,khark,29.2614,50.3306,20.95,68,0,4.12,IR,1742427851
342,yaren,-0.5472,166.916,26.92,83,100,6.35,NR,1742427852
343,teodoro sampaio,-22.5325,-52.1675,25.24,59,41,2.01,BR,1742427853
344,new norfolk,-42.7826,147.0587,23.29,26,91,2.56,AU,1742427854
345,crane,31.3974,-102.3501,16.17,11,0,7.63,US,1742427855
346,bonner,48.8333,-117.0013,1.8,87,100,0.16,US,1742427856
347,campo gallo,-26.5833,-62.85,26.36,34,0,2.89,AR,1742427857
348,kaduy,59.2,37.15,-3.12,81,12,3.48,RU,1742427859
349,tongliao,43.6125,122.2653,7.59,28,42,5.49,CN,1742427860
350,punta arenas,-53.15,-70.9167,8.06,87,40,10.29,CL,1742427847
351,atafu village,-8.5421,-172.5159,28.65,70,57,2.52,TK,1742427862
352,walvis bay,-22.9575,14.5053,19.53,94,100,5.14,,1742427864
